Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 0.066 | Acc: 97.692% (48846/50000)
Validate Loss: 0.310 | Acc: 90.880% (9088/10000)
Train Loss: 0.063 | Acc: 97.818% (48909/50000)
Validate Loss: 0.316 | Acc: 90.790% (9079/10000)
Train Loss: 0.070 | Acc: 97.534% (48767/50000)
Validate Loss: 0.309 | Acc: 91.390% (9139/10000)
Train Loss: 0.064 | Acc: 97.764% (48882/50000)
Validate Loss: 0.325 | Acc: 91.250% (9125/10000)
Train Loss: 0.069 | Acc: 97.610% (48805/50000)
Validate Loss: 0.333 | Acc: 90.330% (9033/10000)
Train Loss: 0.064 | Acc: 97.798% (48899/50000)
Validate Loss: 0.318 | Acc: 91.010% (9101/10000)
Train Loss: 0.064 | Acc: 97.818% (48909/50000)
Validate Loss: 0.371 | Acc: 89.610% (8961/10000)
Train Loss: 0.065 | Acc: 97.732% (48866/50000)
Validate Loss: 0.309 | Acc: 91.400% (9140/10000)
Train Loss: 0.069 | Acc: 97.606% (48803/50000)
Validate Loss: 0.326 | Acc: 90.300% (9030/10000)
Train Loss: 0.059 | Acc: 98.016% (49008/50000)
Validate Loss: 0.332 | Acc: 90.900% (9090/10000)
Train Loss: 0.069 | Acc: 97.642% (48821/50000)
Validate Loss: 0.301 | Acc: 91.260% (9126/10000)
Train Loss: 0.069 | Acc: 97.560% (48780/50000)
Validate Loss: 0.334 | Acc: 90.320% (9032/10000)
Train Loss: 0.061 | Acc: 97.904% (48952/50000)
Validate Loss: 0.310 | Acc: 91.110% (9111/10000)
Train Loss: 0.062 | Acc: 97.906% (48953/50000)
Validate Loss: 0.333 | Acc: 90.650% (9065/10000)
Train Loss: 0.063 | Acc: 97.848% (48924/50000)
Validate Loss: 0.342 | Acc: 90.520% (9052/10000)
Train Loss: 0.064 | Acc: 97.800% (48900/50000)
Validate Loss: 0.370 | Acc: 89.970% (8997/10000)
Train Loss: 0.062 | Acc: 97.868% (48934/50000)
Validate Loss: 0.338 | Acc: 90.220% (9022/10000)
Train Loss: 0.068 | Acc: 97.660% (48830/50000)
Validate Loss: 0.310 | Acc: 90.670% (9067/10000)
Train Loss: 0.064 | Acc: 97.814% (48907/50000)
Validate Loss: 0.337 | Acc: 90.460% (9046/10000)
Train Loss: 0.061 | Acc: 97.864% (48932/50000)
Validate Loss: 0.312 | Acc: 91.130% (9113/10000)
Train Loss: 0.069 | Acc: 97.574% (48787/50000)
Validate Loss: 0.347 | Acc: 89.740% (8974/10000)
Train Loss: 0.062 | Acc: 97.842% (48921/50000)
Validate Loss: 0.313 | Acc: 91.420% (9142/10000)
Train Loss: 0.058 | Acc: 98.008% (49004/50000)
Validate Loss: 0.313 | Acc: 91.200% (9120/10000)
Train Loss: 0.062 | Acc: 97.958% (48979/50000)
Validate Loss: 0.306 | Acc: 91.100% (9110/10000)
Train Loss: 0.066 | Acc: 97.758% (48879/50000)
Validate Loss: 0.372 | Acc: 89.960% (8996/10000)
Train Loss: 0.057 | Acc: 98.082% (49041/50000)
Validate Loss: 0.302 | Acc: 91.170% (9117/10000)
Train Loss: 0.059 | Acc: 98.082% (49041/50000)
Validate Loss: 0.384 | Acc: 89.460% (8946/10000)
Train Loss: 0.066 | Acc: 97.764% (48882/50000)
Validate Loss: 0.362 | Acc: 89.890% (8989/10000)
Train Loss: 0.065 | Acc: 97.756% (48878/50000)
Validate Loss: 0.318 | Acc: 90.560% (9056/10000)
Train Loss: 0.064 | Acc: 97.830% (48915/50000)
Validate Loss: 0.309 | Acc: 90.790% (9079/10000)
Train Loss: 0.065 | Acc: 97.796% (48898/50000)
Validate Loss: 0.321 | Acc: 90.850% (9085/10000)
Train Loss: 0.062 | Acc: 97.896% (48948/50000)
Validate Loss: 0.329 | Acc: 90.650% (9065/10000)
Train Loss: 0.064 | Acc: 97.850% (48925/50000)
Validate Loss: 0.314 | Acc: 90.930% (9093/10000)
Train Loss: 0.058 | Acc: 98.038% (49019/50000)
Validate Loss: 0.326 | Acc: 90.430% (9043/10000)
Train Loss: 0.064 | Acc: 97.852% (48926/50000)
Validate Loss: 0.321 | Acc: 90.760% (9076/10000)
Train Loss: 0.061 | Acc: 97.888% (48944/50000)
Validate Loss: 0.321 | Acc: 91.080% (9108/10000)
Train Loss: 0.065 | Acc: 97.876% (48938/50000)
Validate Loss: 0.290 | Acc: 91.140% (9114/10000)
Train Loss: 0.059 | Acc: 97.990% (48995/50000)
Validate Loss: 0.334 | Acc: 90.870% (9087/10000)
Train Loss: 0.063 | Acc: 97.858% (48929/50000)
Validate Loss: 0.355 | Acc: 90.500% (9050/10000)
Train Loss: 0.060 | Acc: 97.970% (48985/50000)
Validate Loss: 0.299 | Acc: 91.130% (9113/10000)
Train Loss: 0.060 | Acc: 97.954% (48977/50000)
Validate Loss: 0.361 | Acc: 89.890% (8989/10000)
Train Loss: 0.064 | Acc: 97.820% (48910/50000)
Validate Loss: 0.309 | Acc: 91.210% (9121/10000)
Train Loss: 0.058 | Acc: 98.062% (49031/50000)
Validate Loss: 0.312 | Acc: 91.170% (9117/10000)
Train Loss: 0.058 | Acc: 98.068% (49034/50000)
Validate Loss: 0.315 | Acc: 90.740% (9074/10000)
Train Loss: 0.066 | Acc: 97.782% (48891/50000)
Validate Loss: 0.278 | Acc: 91.550% (9155/10000)
Train Loss: 0.060 | Acc: 98.026% (49013/50000)
Validate Loss: 0.317 | Acc: 90.950% (9095/10000)
Train Loss: 0.062 | Acc: 97.874% (48937/50000)
Validate Loss: 0.336 | Acc: 90.310% (9031/10000)
Train Loss: 0.063 | Acc: 97.866% (48933/50000)
Validate Loss: 0.298 | Acc: 91.250% (9125/10000)
Train Loss: 0.060 | Acc: 97.966% (48983/50000)
Validate Loss: 0.310 | Acc: 91.240% (9124/10000)
Train Loss: 0.066 | Acc: 97.776% (48888/50000)
Validate Loss: 0.304 | Acc: 91.410% (9141/10000)
Train Loss: 0.063 | Acc: 97.860% (48930/50000)
Validate Loss: 0.305 | Acc: 91.050% (9105/10000)
Train Loss: 0.056 | Acc: 98.144% (49072/50000)
Validate Loss: 0.291 | Acc: 91.710% (9171/10000)
Train Loss: 0.062 | Acc: 97.906% (48953/50000)
Validate Loss: 0.373 | Acc: 89.520% (8952/10000)
Train Loss: 0.063 | Acc: 97.836% (48918/50000)
Validate Loss: 0.323 | Acc: 90.840% (9084/10000)
Train Loss: 0.064 | Acc: 97.790% (48895/50000)
Validate Loss: 0.372 | Acc: 89.440% (8944/10000)
Train Loss: 0.061 | Acc: 97.970% (48985/50000)
Validate Loss: 0.295 | Acc: 91.520% (9152/10000)
Train Loss: 0.063 | Acc: 97.844% (48922/50000)
Validate Loss: 0.300 | Acc: 91.230% (9123/10000)
Train Loss: 0.060 | Acc: 97.964% (48982/50000)
Validate Loss: 0.292 | Acc: 91.680% (9168/10000)
Train Loss: 0.060 | Acc: 97.988% (48994/50000)
Validate Loss: 0.313 | Acc: 90.840% (9084/10000)
Train Loss: 0.059 | Acc: 98.000% (49000/50000)
Validate Loss: 0.315 | Acc: 91.110% (9111/10000)
Train Loss: 0.060 | Acc: 98.014% (49007/50000)
Validate Loss: 0.384 | Acc: 89.180% (8918/10000)
Train Loss: 0.059 | Acc: 98.066% (49033/50000)
Validate Loss: 0.290 | Acc: 91.760% (9176/10000)
Train Loss: 0.063 | Acc: 97.860% (48930/50000)
Validate Loss: 0.344 | Acc: 90.320% (9032/10000)
Train Loss: 0.064 | Acc: 97.848% (48924/50000)
Validate Loss: 0.306 | Acc: 91.140% (9114/10000)
Train Loss: 0.061 | Acc: 97.932% (48966/50000)
Validate Loss: 0.329 | Acc: 90.710% (9071/10000)
Train Loss: 0.064 | Acc: 97.842% (48921/50000)
Validate Loss: 0.309 | Acc: 91.270% (9127/10000)
Train Loss: 0.057 | Acc: 98.136% (49068/50000)
Validate Loss: 0.351 | Acc: 89.970% (8997/10000)
Train Loss: 0.062 | Acc: 97.972% (48986/50000)
Validate Loss: 0.302 | Acc: 91.350% (9135/10000)
Train Loss: 0.061 | Acc: 97.894% (48947/50000)
Validate Loss: 0.339 | Acc: 90.540% (9054/10000)
Train Loss: 0.057 | Acc: 98.154% (49077/50000)
Validate Loss: 0.305 | Acc: 91.060% (9106/10000)
Train Loss: 0.062 | Acc: 97.920% (48960/50000)
Validate Loss: 0.330 | Acc: 90.370% (9037/10000)
Train Loss: 0.062 | Acc: 97.954% (48977/50000)
Validate Loss: 0.336 | Acc: 90.180% (9018/10000)
Train Loss: 0.062 | Acc: 97.934% (48967/50000)
Validate Loss: 0.327 | Acc: 90.870% (9087/10000)
Train Loss: 0.059 | Acc: 98.038% (49019/50000)
Validate Loss: 0.307 | Acc: 91.630% (9163/10000)
Train Loss: 0.054 | Acc: 98.218% (49109/50000)
Validate Loss: 0.331 | Acc: 90.530% (9053/10000)
Train Loss: 0.063 | Acc: 97.856% (48928/50000)
Validate Loss: 0.324 | Acc: 90.630% (9063/10000)
Train Loss: 0.061 | Acc: 97.946% (48973/50000)
Validate Loss: 0.328 | Acc: 90.810% (9081/10000)
Train Loss: 0.059 | Acc: 98.036% (49018/50000)
Validate Loss: 0.339 | Acc: 89.700% (8970/10000)
Train Loss: 0.061 | Acc: 97.950% (48975/50000)
Validate Loss: 0.305 | Acc: 91.200% (9120/10000)
Train Loss: 0.062 | Acc: 97.864% (48932/50000)
Validate Loss: 0.310 | Acc: 91.200% (9120/10000)
Train Loss: 0.058 | Acc: 98.026% (49013/50000)
Validate Loss: 0.341 | Acc: 90.430% (9043/10000)
Train Loss: 0.066 | Acc: 97.836% (48918/50000)
Validate Loss: 0.289 | Acc: 91.310% (9131/10000)
Train Loss: 0.053 | Acc: 98.214% (49107/50000)
Validate Loss: 0.338 | Acc: 91.050% (9105/10000)
Train Loss: 0.062 | Acc: 97.916% (48958/50000)
Validate Loss: 0.303 | Acc: 90.930% (9093/10000)
Train Loss: 0.056 | Acc: 98.084% (49042/50000)
Validate Loss: 0.357 | Acc: 89.990% (8999/10000)
Train Loss: 0.062 | Acc: 97.932% (48966/50000)
Validate Loss: 0.307 | Acc: 91.230% (9123/10000)
Train Loss: 0.058 | Acc: 97.976% (48988/50000)
Validate Loss: 0.289 | Acc: 91.720% (9172/10000)
Train Loss: 0.058 | Acc: 98.090% (49045/50000)
Validate Loss: 0.317 | Acc: 90.910% (9091/10000)
Train Loss: 0.058 | Acc: 98.042% (49021/50000)
Validate Loss: 0.284 | Acc: 92.090% (9209/10000)
Total training time:  5818.884653871879 Epoch:  163
